UDI,Product ID,timestamp,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
83,L47262,2023-03-24 08:00:00,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0
84,L47263,2023-03-25 08:00:00,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0
85,L47264,2023-03-26 08:00:00,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0
86,M14945,2023-03-27 08:00:00,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0
87,H29500,2023-03-28 08:00:00,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0
88,L47267,2023-03-29 08:00:00,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0
89,M14948,2023-03-30 08:00:00,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0
90,M14949,2023-03-31 08:00:00,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0
91,L47270,2023-04-01 08:00:00,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0
92,L47271,2023-04-02 08:00:00,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0
93,M14952,2023-04-03 08:00:00,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0
94,L47273,2023-04-04 08:00:00,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0
95,L47274,2023-04-05 08:00:00,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0
96,M14955,2023-04-06 08:00:00,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0
97,M14956,2023-04-07 08:00:00,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0
98,M14957,2023-04-08 08:00:00,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0
99,L47278,2023-04-09 08:00:00,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0
100,L47279,2023-04-10 08:00:00,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
101,L47280,2023-04-11 08:00:00,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0
102,L47281,2023-04-12 08:00:00,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0
103,L47282,2023-04-13 08:00:00,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0
104,M14963,2023-04-14 08:00:00,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0
105,L47284,2023-04-15 08:00:00,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0
106,L47285,2023-04-16 08:00:00,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0
107,L47286,2023-04-17 08:00:00,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
108,M14967,2023-04-18 08:00:00,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0
109,H29522,2023-04-19 08:00:00,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0
110,L47289,2023-04-20 08:00:00,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
111,L47290,2023-04-21 08:00:00,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0
112,H29525,2023-04-22 08:00:00,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0
113,M14972,2023-04-23 08:00:00,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0
114,M14973,2023-04-24 08:00:00,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0
115,L47294,2023-04-25 08:00:00,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0
116,L47295,2023-04-26 08:00:00,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0
117,L47296,2023-04-27 08:00:00,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0
118,L47297,2023-04-28 08:00:00,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0
119,M14978,2023-04-29 08:00:00,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0
120,L47299,2023-04-30 08:00:00,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0
121,L47300,2023-05-01 08:00:00,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
122,L47301,2023-05-02 08:00:00,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0
123,L47302,2023-05-03 08:00:00,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0
124,L47303,2023-05-04 08:00:00,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0
125,L47304,2023-05-05 08:00:00,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0
126,L47305,2023-05-06 08:00:00,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0
127,L47306,2023-05-07 08:00:00,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0
128,L47307,2023-05-08 08:00:00,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
129,L47308,2023-05-09 08:00:00,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0
130,L47309,2023-05-10 08:00:00,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0
131,L47310,2023-05-11 08:00:00,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0
132,L47311,2023-05-12 08:00:00,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0
133,M14992,2023-05-13 08:00:00,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0
134,M14993,2023-05-14 08:00:00,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0
135,L47314,2023-05-15 08:00:00,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0
136,M14995,2023-05-16 08:00:00,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0
137,H29550,2023-05-17 08:00:00,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0
138,L47317,2023-05-18 08:00:00,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0
139,H29552,2023-05-19 08:00:00,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0
140,L47319,2023-05-20 08:00:00,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0
141,L47320,2023-05-21 08:00:00,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0
142,L47321,2023-05-22 08:00:00,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0
143,M15002,2023-05-23 08:00:00,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0
144,H29557,2023-05-24 08:00:00,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0
145,M15004,2023-05-25 08:00:00,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0
146,L47325,2023-05-26 08:00:00,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0
147,H29560,2023-05-27 08:00:00,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
148,L47327,2023-05-28 08:00:00,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
149,M15008,2023-05-29 08:00:00,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0
150,L47329,2023-05-30 08:00:00,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0
151,L47330,2023-05-31 08:00:00,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0
152,M15011,2023-06-01 08:00:00,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0
153,M15012,2023-06-02 08:00:00,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0
154,L47333,2023-06-03 08:00:00,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0
155,L47334,2023-06-04 08:00:00,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0
156,H29569,2023-06-05 08:00:00,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0
157,M15016,2023-06-06 08:00:00,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0
158,H29571,2023-06-07 08:00:00,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
159,M15018,2023-06-08 08:00:00,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0
160,L47339,2023-06-09 08:00:00,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0
161,L47340,2023-06-10 08:00:00,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
162,L47341,2023-06-11 08:00:00,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0
163,L47342,2023-06-12 08:00:00,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0
164,M15023,2023-06-13 08:00:00,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0
165,M15024,2023-06-14 08:00:00,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0
166,L47345,2023-06-15 08:00:00,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0
167,H29580,2023-06-16 08:00:00,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0
168,H29581,2023-06-17 08:00:00,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0
169,L47348,2023-06-18 08:00:00,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0
170,L47349,2023-06-19 08:00:00,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0
171,M15030,2023-06-20 08:00:00,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0
172,L47351,2023-06-21 08:00:00,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0
173,M15032,2023-06-22 08:00:00,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0
174,M15033,2023-06-23 08:00:00,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0
175,L47354,2023-06-24 08:00:00,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0
176,L47355,2023-06-25 08:00:00,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0
177,L47356,2023-06-26 08:00:00,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0
178,L47357,2023-06-27 08:00:00,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0
179,L47358,2023-06-28 08:00:00,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0
180,L47359,2023-06-29 08:00:00,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0
181,L47360,2023-06-30 08:00:00,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0
182,H29595,2023-07-01 08:00:00,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0
183,M15042,2023-07-02 08:00:00,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0
184,L47363,2023-07-03 08:00:00,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0
185,L47364,2023-07-04 08:00:00,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0
186,L47365,2023-07-05 08:00:00,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0
187,L47366,2023-07-06 08:00:00,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0
188,L47367,2023-07-07 08:00:00,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0
189,L47368,2023-07-08 08:00:00,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0
190,M15049,2023-07-09 08:00:00,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0
191,L47370,2023-07-10 08:00:00,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0
192,L47371,2023-07-11 08:00:00,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0
193,H29606,2023-07-12 08:00:00,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0
194,H29607,2023-07-13 08:00:00,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0
195,M15054,2023-07-14 08:00:00,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
196,L47375,2023-07-15 08:00:00,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0
197,H29610,2023-07-16 08:00:00,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0
198,M15057,2023-07-17 08:00:00,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0
199,L47378,2023-07-18 08:00:00,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0
200,L47379,2023-07-19 08:00:00,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0
201,L47380,2023-07-20 08:00:00,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0
202,L47381,2023-07-21 08:00:00,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0
203,M15062,2023-07-22 08:00:00,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0
204,L47383,2023-07-23 08:00:00,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0
205,L47384,2023-07-24 08:00:00,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0
206,M15065,2023-07-25 08:00:00,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0
207,L47386,2023-07-26 08:00:00,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0
208,M15067,2023-07-27 08:00:00,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
209,L47388,2023-07-28 08:00:00,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0
210,L47389,2023-07-29 08:00:00,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0
211,L47390,2023-07-30 08:00:00,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0
212,L47391,2023-07-31 08:00:00,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0
213,H29626,2023-08-01 08:00:00,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0
214,L47393,2023-08-02 08:00:00,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0
215,M15074,2023-08-03 08:00:00,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0
216,L47395,2023-08-04 08:00:00,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0
217,L47396,2023-08-05 08:00:00,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0
218,L47397,2023-08-06 08:00:00,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0
219,L47398,2023-08-07 08:00:00,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0
220,M15079,2023-08-08 08:00:00,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0
221,L47400,2023-08-09 08:00:00,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0
222,H29635,2023-08-10 08:00:00,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0
223,L47402,2023-08-11 08:00:00,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0
224,L47403,2023-08-12 08:00:00,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0
225,L47404,2023-08-13 08:00:00,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0
226,L47405,2023-08-14 08:00:00,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0
227,L47406,2023-08-15 08:00:00,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0
228,L47407,2023-08-16 08:00:00,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0
229,M15088,2023-08-17 08:00:00,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0
230,L47409,2023-08-18 08:00:00,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0
231,L47410,2023-08-19 08:00:00,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0
232,L47411,2023-08-20 08:00:00,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0
233,L47412,2023-08-21 08:00:00,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0
234,L47413,2023-08-22 08:00:00,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0
235,L47414,2023-08-23 08:00:00,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0
236,M15095,2023-08-24 08:00:00,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0
237,L47416,2023-08-25 08:00:00,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0
238,M15097,2023-08-26 08:00:00,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0
239,L47418,2023-08-27 08:00:00,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0
240,L47419,2023-08-28 08:00:00,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0
241,M15100,2023-08-29 08:00:00,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0
242,L47421,2023-08-30 08:00:00,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0
243,L47422,2023-08-31 08:00:00,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0
244,L47423,2023-09-01 08:00:00,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0
245,M15104,2023-09-02 08:00:00,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0
246,M15105,2023-09-03 08:00:00,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0
247,L47426,2023-09-04 08:00:00,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0
248,L47427,2023-09-05 08:00:00,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0
249,L47428,2023-09-06 08:00:00,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0
250,L47429,2023-09-07 08:00:00,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0
251,L47430,2023-09-08 08:00:00,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0
252,M15111,2023-09-09 08:00:00,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0
253,L47432,2023-09-10 08:00:00,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0
254,L47433,2023-09-11 08:00:00,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0
255,L47434,2023-09-12 08:00:00,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0
256,L47435,2023-09-13 08:00:00,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0
257,L47436,2023-09-14 08:00:00,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0
258,L47437,2023-09-15 08:00:00,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0
259,L47438,2023-09-16 08:00:00,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0
260,M15119,2023-09-17 08:00:00,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0
261,M15120,2023-09-18 08:00:00,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0
262,L47441,2023-09-19 08:00:00,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0
263,M15122,2023-09-20 08:00:00,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0
264,M15123,2023-09-21 08:00:00,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0
265,L47444,2023-09-22 08:00:00,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0
266,L47445,2023-09-23 08:00:00,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0
267,H29680,2023-09-24 08:00:00,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0
268,L47447,2023-09-25 08:00:00,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0
269,H29682,2023-09-26 08:00:00,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0
270,L47449,2023-09-27 08:00:00,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0
271,H29684,2023-09-28 08:00:00,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0
272,M15131,2023-09-29 08:00:00,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0
273,L47452,2023-09-30 08:00:00,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0
274,L47453,2023-10-01 08:00:00,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0
275,L47454,2023-10-02 08:00:00,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0
276,L47455,2023-10-03 08:00:00,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0
